Lane,SampleID,Reads,Base(Gb),Q20,Q30,GC(%),N(%)
L003,B180814139784-Pu-Lu-CLN,773732,0.12,98.48,96.19,47.81,0.00
L003,B180814139854-Pu-Lu-CLN,697044,0.10,98.63,96.62,46.90,0.00
L003,B180815139936-Pu-Lu-CLN,670138,0.10,98.61,96.55,47.67,0.00
L003,B180815139947-Pu-Lu-CLN,701358,0.11,98.52,96.28,48.04,0.00
L003,B180815139951-Pu-Lu-CLN,795602,0.12,98.45,96.09,48.01,0.00
L003,B180815139955-Pu-Lu-CLN,740844,0.11,98.60,96.50,47.47,0.00
L003,B180815139959-Pu-Lu-CLN,641480,0.10,98.53,96.30,47.63,0.00
L003,B180815139980-CLN-KY499-Pu-Lu,694364,0.10,98.74,96.91,47.36,0.00
L003,B180815139989-YH134-Te-Lu-CLN,667030,0.10,98.52,96.32,47.70,0.00
L003,B180815140045-CLN-KY499-Pu-Lu,685058,0.10,98.65,96.59,47.52,0.00
L003,B180815140062-Pu-Lu-CLN,718288,0.11,98.53,96.30,48.21,0.00
L003,B180815140065-YH155-Pu-Lu-CLN,836086,0.13,98.63,96.57,47.59,0.00
L003,B180815140075-CLN-KY499-Pu-Lu,691218,0.10,98.52,96.30,48.29,0.00
L003,B180815140164-Pu-Lu-CLN,544696,0.08,98.65,96.66,47.27,0.00
L002,B180817140532-Ge-CLN,3299036,0.50,98.67,96.30,47.53,0.00
L002,B180817140534-YH155-Ge-CLN,3208172,0.48,98.63,96.19,47.29,0.00
L002,B180817140537-Ge-CLN,3113898,0.47,98.63,96.19,47.20,0.00
L002,B180817140541-Ge-CLN,2770394,0.42,98.78,96.58,47.75,0.00
L002,B180817140543-Ge-CLN,3218036,0.48,98.67,96.30,47.32,0.00
L002,B180817140546-Ge-CLN,3258148,0.49,98.66,96.27,47.59,0.00
L002,B180817140549-YH155-Ge-CLN,3068736,0.46,98.75,96.50,47.20,0.00
L002,B180817140552-Ge-CLN,2698736,0.41,98.71,96.39,47.09,0.00
L002,B180817140555-Ge-CLN,3671202,0.55,98.71,96.38,47.78,0.00
L002,B180817140561-Pu-Lu-CLN,558974,0.08,98.70,96.43,45.73,0.00
L002,B180817140562-Pu-Lu-CLN,429660,0.06,98.71,96.43,46.83,0.00
L002,B180817140564-Pu-Lu-CLN,623390,0.09,98.60,96.16,46.34,0.00
L002,B180817140566-Pu-Lu-CLN,385634,0.06,98.77,96.60,46.23,0.00
L002,B180817140569-Pu-Lu-CLN,482360,0.07,98.71,96.50,47.01,0.00
L002,B180817140578-Pu-Lu-CLN,460778,0.07,98.53,96.01,45.95,0.00
L002,B180817140586-CLN-KY293,2998598,0.45,98.32,95.41,47.59,0.00
L002,B180817140595-Pu-Lu-CLN,510288,0.08,98.36,95.54,45.93,0.00
L002,B180817140600-YH134-Te-Lu-CLN,525690,0.08,98.25,95.24,46.20,0.00
L002,B180817140602-CLN-KY370,3393650,0.51,97.69,93.61,46.87,0.00
L002,B180817140610-YH155-Te-Lu-CLN,465242,0.07,98.14,94.91,47.00,0.00
L002,B180817140656-Pu-Lu-CLN,513932,0.08,98.75,96.56,47.26,0.00
L002,B180817140659-Pu-Lu-CLN,498510,0.08,98.72,96.57,45.70,0.00
L002,B180817140665-Pu-Lu-CLN,546478,0.08,98.66,96.32,45.73,0.01
L002,B180817140683-Pu-Lu-CLN,593952,0.09,98.59,96.17,46.08,0.01
L002,B180817140723-Ge-CLN,3596200,0.54,98.76,96.55,47.44,0.00
L002,B180817140739-Pu-Lu-CLN,591754,0.09,98.81,96.67,47.02,0.00
L002,B180817140743-CLN-KY499-Pu-Lu,617436,0.09,98.69,96.35,46.77,0.00
L002,B180818140788-YH155-Ge-CLN,3204272,0.48,98.84,96.75,47.42,0.00
L002,B180818140792-Ge-CLN,3067612,0.46,98.86,96.86,46.88,0.00
L002,B180818140800-YH155-Te-Lu-CLN,480176,0.07,98.80,96.66,47.16,0.00
L002,B180818140814-Pu-Lu-CLN,630462,0.09,98.70,96.47,46.15,0.00
L002,B180818140816-Pu-Lu-CLN,637374,0.10,98.77,96.64,46.19,0.00
L002,B180818140819-Pu-Lu-CLN,603100,0.09,98.77,96.62,46.68,0.00
L002,B180818140821-Pu-Lu-CLN,582994,0.09,98.70,96.35,46.85,0.00
L002,B180818140824-Pu-Lu-CLN,578678,0.09,98.58,96.08,45.80,0.00
L002,B180818140829-Pu-Lu-CLN,565676,0.09,98.72,96.49,46.10,0.00
L002,B180818140836-Pu-Lu-CLN,460736,0.07,98.82,96.70,47.08,0.00
L002,B180818140840-CLN-KY540,3726548,0.56,98.69,96.35,48.33,0.00
L002,B180818140851-CLN-KY499,4264842,0.64,98.66,96.28,48.18,0.00
L002,B180818140884-CLN-KY556-Pu-Lu,649292,0.10,98.65,96.24,47.02,0.00
L002,B180818140897-YH155-CLN,3725318,0.56,98.64,96.22,47.30,0.00
